,docname,from,to,pre,keyword,post
17,text11,1416,1416,"management of chronic disease ### Way Forward Based on the above findings , the following six projects are submitted for discussion . This is by no means intended to be an all inclusive of candidate projects that could demonstrate the potential for SHR to address",usability,challenges in the clinician-patient interaction . * * _1 ) Natively support USPSTF Grade A and B and Choosing Wisely recommendations within the SHR * * _ The United States Preventive Services Task Force Grade A and B recommendations detail the preventive health services that
18,text11,1829,1829,concepts based and an open-source NLP engine to provide SaaS processing of clinical content and association with UMLS concept IDs [ [ 9 ] ( http : / / www.lexenco.com / ) ] . Each of these individual offerings represents a partial solution to important,usability,"challenges listed above . Leveraging multiple third-party solutions , i.e . these or others , within a clinical environment highlights the "" plug and play "" modularity that SHR empowers , demonstrating short term benefit to clinicians and patients without lengthy development timelines of a"
19,text11,2028,2028,"a DDx and integrating it within the clinical workflow , as a form of CDS . Technology developed by Inferscience is relevant to this objective [ [ 10 ] ( http : / / www.inferscience.com / ) ] . * * _4 ) Solving the",Usability,Challenges of Non-Physician Health Care Workers * * _ This is included as a placeholder . Susan and I agree that this is very important ; however it may be out of scope as a primary focus for Jay Schnitzer's request to address clinician-patient usability
20,text11,2073,2073,Usability Challenges of Non-Physician Health Care Workers * * _ This is included as a placeholder . Susan and I agree that this is very important ; however it may be out of scope as a primary focus for Jay Schnitzer's request to address clinician-patient,usability,. * * _5 ) Assessing and Addressing Social Determinants of Health within the Clinical Encounter * * _ Placeholder for now . * * _6 ) SMS-based platform for asynchronous communication with the care team * * _ Eva is an NLP-powered algorithm with
21,text15,181,181,"page advertising the features . ] [ Another edit : added the actual demo for Spirit . ] I'm looking at those from a technical viewpoint and will post findings as comments on this issue . If other people can add comments on features ,",usability,", etc , that would be useful ."
22,text17,188,188,- [ x ] No new security vulnerabilities - [ x ] Internal team code review - [ x ] Documentation / readme.md / CircleCI updated - [ x ] Docker updated - [ x ] Compare finished design with mockup - [ x ],Usability,"tested ( Bryan ) ## Tasks - [ x ] research and get pricing information for each pilot forest ( Jane ) - [ x ] user task flow model ( Bryan , Jane ) - [ x ] db model ( email address ,"
23,text19,25,25,Currently : Player needs to memorize what type of item is a carry item and what is an inventory item . Problem : Bad,usability,", problem with flow , problematic readability Suggestion : Use different shape / color for each of the 2 categories ."
24,text21,439,439,QWASP - [ x ] No new security vulnerabilities - [ x ] Internal team code review - [ x ] Documentation / readme.md / CircleCI updated - [ x ] Docker updated - [ x ] Compare finished design with mockup - [ ],Usability,tested
25,text26,271,271,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ### Bug description There is a common,_usability,"bug_ of Signal . Lets say you are getting a Signal message on your mobile . You select the notification message , switching to your Signal app , opening the conversation . You now see the last part of the conversation dialogue between you and"
26,text41,77,77,"Why ? - To support Events team on uploading next season events by 23 November - So that we can support the operational needs of the Events team , through ticketing and event statuses - So that we make improvements based on user research and",usability,"recommendations , especially for mobile - So we don't have to run tests against two platforms - So the content contributors don't have to duplicate effort - So we can make contributor workflows better ## Release 1 - Core event information : Date , Time"
27,text41,225,225,booking information for events template - [ ] Document content model ## Metrics to monitor / Success Have number of bookings increased / decreased ? Have no-shows increased ? Scroll depth Can you find an event in Google and see the date and time ?,Usability,testing demonstrates no significant usability problems
28,text41,230,230,- [ ] Document content model ## Metrics to monitor / Success Have number of bookings increased / decreased ? Have no-shows increased ? Scroll depth Can you find an event in Google and see the date and time ? Usability testing demonstrates no significant,usability,problems
29,text48,217,217,"of RAM to its knees . This makes it not really feasable at any sort of scale . 2 ) Attempt to address the individual applications by their ` title ` properties . This also works - most of the time . Unfortunately , the",usability,"of this entirely depends on the websites you are using . Browsers typically modify the window title based on the page you are on . Some web pages , like google inbox , will maintain a fairly consistent set of window titles , while others"
30,text49,298,298,. It gets really bad if this can even happen on a locked phone ( #198 ) . If we neither want to force the average user to go deep into the advanced settings to manually activate all the features they expect ( really bad,usability,") nor want to endanger some users by choosing insecure but convenient defaults , we should ask the user at the setup level what their use case is : - casual user - moderately security concious user - tinfoilhat ™ / protester in $ nodemocracyhere"
31,text51,12,12,I have websockets with different scripts working but really like the,usability,"the lib implies . but i can't get any of the samples work . ` ` ` php < ? php require __DIR__ . "" / vendor / autoload.php "" ; / / Non-blocking server implementation based on amphp / socket keeping track of connections"
32,text61,481,481,"this a technically difficult problem to solve ) - Some assistive UI ( e.g . new user advice , tips , security warnings ) . Things like "" Save / update password ? "" should be possible in some form but may suffer from reduced",usability,"- Usage metrics ( this is useful for planning how to improve KeeFox but with limited control over the changes we are making for version 2.0 , a reduction in the number of platforms running version 2.0 and a lack of time to analyse and"
33,text79,12,12,Our patcher leaves a bit to be desired as far as,usability,goes . so @Heartfyre is working on some UX design improvements .
34,text87,167,167,"the right tool , the Engineering and Design teams have been evaluating Mattermost , an open source Slack-alternative-we can all just call it , "" Chat "" . We've used it for a few months , contributed some code , and worked out the major",usability,bugs . Now we'd like to invite the rest of the Foundation to try it out and let us know what you think . #### Goals of chat software - Be open and promote inclusivity - Reduce the need for emails - Enable access to
35,text90,390,390,"[ ] 7 . * * Headings in menu * * - could be clearer that they are headings ? - "" Inventory is not loading , it's slightly greyed out . "" - [ ] 8 . * * FAB for adding items has",usability,"problems * * - "" While looking at my TODOs , I click the bottom-right + icon . I am disappointed that the + icon forces me to again choose a task type instead of creating a TODO ( or whatever other task type I"
36,text101,125,125,", a bubble-box can display a snippet of that message . A bubble-box can be displayed for some period of time . Along with an animated tray icon ( issue id : 11 ) , it can be a very huge step as an overall",usability,enhancement . Thanks ! P.S . trayIcon.displayMessage ( ) ; ` ` ` Original issue reported on code.google.com by ` baki . . . @gmail.com ` on 5 Jun 2009 at 5 : 37
37,text107,125,125,", a bubble-box can display a snippet of that message . A bubble-box can be displayed for some period of time . Along with an animated tray icon ( issue id : 11 ) , it can be a very huge step as an overall",usability,enhancement . Thanks ! P.S . trayIcon.displayMessage ( ) ; ` ` ` Original issue reported on code.google.com by ` baki . . . @gmail.com ` on 5 Jun 2009 at 5 : 37
38,text109,125,125,", a bubble-box can display a snippet of that message . A bubble-box can be displayed for some period of time . Along with an animated tray icon ( issue id : 11 ) , it can be a very huge step as an overall",usability,enhancement . Thanks ! P.S . trayIcon.displayMessage ( ) ; ` ` ` Original issue reported on code.google.com by ` baki . . . @gmail.com ` on 5 Jun 2009 at 5 : 37
39,text110,279,279,"- Delete your input - Go back to the Inbox pretending you want to start a new conversation and press the call icon ( your input will be lost either way see "" Keep state ( keyboard text input ) "" ) ##### Branding <",Usability,"The Signal icon can't be part of the navigation stack ! This is the first serious iOS project I have seen where the app icon is used in the navigation stack and as view title . The available main views are the "" Inbox """
40,text112,6,6,Adding a keyboard shortcut adds,usability,"for chat interfaces like gmail . I have this feature mostly implemented using ` ` ` document.activeElement ; ` ` ` however , if the active element is within an iframe , it returns the reference to the iframe instead of the actual active element"
